probe_id,gene_symbol,log2FC,mean_a,mean_b,t_stat,p_value,adj_p_value
231007_at,,0.00732183,4.22363,4.21631,0.282915,0.777796,0.852105
237445_at,,0.010435,5.33617,5.32574,0.282775,0.777894,0.852195
1561737_at,,0.00651567,3.84266,3.83615,0.282612,0.777994,0.852288
1553401_at,MRGPRX1,-0.00931667,3.77084,3.78015,-0.282518,0.778054,0.852336
239705_at,,-0.0134245,5.09455,5.10797,-0.282466,0.778086,0.852345
1553436_at,MUC19,-0.0131115,4.3817,4.39482,-0.282461,0.778093,0.852345
231417_at,,-0.00774633,3.66772,3.67547,-0.282378,0.77816,0.852401
232632_at,,-0.0492233,5.10688,5.1561,-0.2823,0.778217,0.852446
206406_at,SMCP,0.0162855,5.51105,5.49477,0.282267,0.778233,0.852447
1553327_a_at,BEND7,0.0102062,4.52742,4.51721,0.282233,0.778261,0.85246
1568613_at,RSPH3,0.0218073,8.28383,8.26202,0.281936,0.778487,0.852674
1553070_a_at,MYOZ3,0.0171677,4.79519,4.77802,0.281945,0.77848,0.852674
1566087_at,,0.00627983,3.58113,3.57485,0.281914,0.778512,0.852684
240465_at,C4orf32,-0.0148738,5.12525,5.14012,-0.281848,0.778617,0.852765
1554942_a_at,KLHL14,0.023426,6.28605,6.26262,0.281777,0.77861,0.852765
222296_at,,-0.0106955,4.37184,4.38254,-0.281732,0.778644,0.852778
1564886_at,,-0.0210532,5.48135,5.50241,-0.281701,0.778668,0.852786
1568680_s_at,YTHDC2,0.019951,6.08794,6.06799,0.281501,0.778824,0.852912
1564371_a_at,CASC2,-0.017413,3.99799,4.0154,-0.281546,0.778829,0.852912
225533_at,PHF19,-0.0166048,7.49497,7.51157,-0.281693,0.778816,0.852912
240271_at,,-0.0557097,4.75752,4.81322,-0.281402,0.7789,0.852972
214809_at,LOC100294145,0.00816767,5.01212,5.00396,0.281251,0.779011,0.853032
1554161_at,SLC25A27,-0.0206322,4.20794,4.22857,-0.281266,0.778999,0.853032
228369_at,CNPY3,0.0242803,6.6189,6.59462,0.281246,0.779017,0.853032
201253_s_at,CDIPT,0.0167583,11.0407,11.024,0.281268,0.779007,0.853032
237313_at,C1QTNF1-AS1,-0.00858217,4.92307,4.93166,-0.281168,0.779079,0.853083
234467_at,,-0.00661033,4.0014,4.00801,-0.280954,0.779243,0.853233
219179_at,DACT1,-0.0464613,7.12997,7.17644,-0.280995,0.779278,0.853233
232486_at,LRFN1,0.011065,5.51118,5.50011,0.280936,0.779278,0.853233
215642_at,,-0.006137,4.62526,4.6314,-0.280925,0.779265,0.853233
1554710_at,KCNMB1,-0.015038,4.30031,4.31535,-0.280809,0.779399,0.853348
235157_at,,0.0634462,6.06092,5.99747,0.28074,0.779415,0.853348
230463_at,,0.0098145,5.05082,5.04101,0.280645,0.779488,0.853403
234346_x_at,,-0.0122888,4.24998,4.26227,-0.280617,0.779496,0.853403
1562892_at,CHCHD5,0.0114332,5.12497,5.11354,0.280651,0.779512,0.853404
1569024_at,FAM13A,0.0102742,4.43997,4.4297,0.280604,0.779561,0.853413
242540_at,DNHD1,0.0122697,3.97767,3.9654,0.280536,0.779564,0.853413
1558549_s_at,VNN1,-0.0449452,5.43838,5.48332,-0.280538,0.779567,0.853413
242391_at,,-0.008245,4.14082,4.14906,-0.280559,0.779616,0.853445
211559_s_at,CCNG2,-0.0718097,7.57309,7.6449,-0.280443,0.779628,0.853445
213785_at,IPO9,-0.0218262,6.9406,6.96242,-0.280478,0.779708,0.853498
209900_s_at,SLC16A1,0.0443497,5.43048,5.38613,0.280453,0.779693,0.853498
208535_x_at,COL13A1,0.0135758,7.52669,7.51311,0.280316,0.779731,0.853507
203116_s_at,FECH,-0.027206,7.60651,7.63371,-0.280346,0.779759,0.85352
234407_s_at,TRPC7,-0.00892183,3.77472,3.78364,-0.280005,0.779973,0.853738
208182_x_at,IFNA14,0.007883,4.03384,4.02596,0.279946,0.780017,0.853768
209257_s_at,SMC3,-0.0575783,6.18786,6.24544,-0.279807,0.780117,0.853858
244258_at,,-0.00681883,4.7546,4.76142,-0.279794,0.78013,0.853858
205553_s_at,CSRP3,-0.011676,4.289,4.30068,-0.279725,0.780203,0.85392
242334_at,NLRP4,0.016269,4.50064,4.48437,0.279668,0.780234,0.853937
215961_at,F12,0.0190257,5.08453,5.0655,0.279536,0.780325,0.853969
234303_s_at,GPR85,-0.0335018,5.78455,5.81805,-0.279621,0.780318,0.853969
203294_s_at,LMAN1,0.0655007,6.37443,6.30893,0.27957,0.780299,0.853969
238913_at,,0.0596912,6.8359,6.77621,0.279543,0.78032,0.853969
234226_at,OPN4,0.00775317,6.02394,6.01619,0.279462,0.780389,0.854005
201979_s_at,PPP5C,0.021169,7.52821,7.50704,0.279473,0.780375,0.854005
228129_at,SERBP1,-0.0305022,7.05589,7.08639,-0.279368,0.780452,0.854056
208821_at,SNRPB,-0.0240072,10.1903,10.2143,-0.279514,0.780479,0.854068
1562863_at,,-0.030928,4.5916,4.62253,-0.27924,0.780578,0.85416
239290_at,FRMPD4,-0.0115617,5.50006,5.51162,-0.27918,0.780595,0.854162
1554969_x_at,DIP2A,-0.0140983,5.19432,5.20842,-0.279122,0.78064,0.854177
235040_at,RUNDC1,-0.020093,7.07326,7.09335,-0.279151,0.780638,0.854177
1570043_at,,0.006385,3.64715,3.64077,0.278947,0.780775,0.854307
1569380_a_at,HERPUD1,-0.021867,5.76361,5.78548,-0.278922,0.780803,0.854316
212319_at,SGSM2,0.032657,7.56809,7.53543,0.279,0.780814,0.854316
1566142_at,,0.0272745,4.83262,4.80534,0.278822,0.78087,0.854346
244570_at,LOC101928433,0.0137055,5.00419,4.99049,0.278825,0.780873,0.854346
216945_x_at,PASK,-0.0352518,6.21554,6.25079,-0.278462,0.781146,0.854627
240553_at,TESC,0.011647,5.73797,5.72632,0.278272,0.781291,0.854769
1566032_at,,0.00952233,4.41783,4.40831,0.27819,0.781361,0.854829
242231_at,,-0.0107942,4.30796,4.31876,-0.278139,0.781406,0.85485
240828_at,JARID2-AS1,-0.012565,5.42178,5.43435,-0.278114,0.781412,0.85485
217133_x_at,CYP2B6,0.0228993,6.68976,6.66686,0.278157,0.781458,0.854883
215334_at,EFR3B,0.0108082,5.7672,5.75639,0.278032,0.781474,0.854884
217595_at,GSPT1,-0.0408152,4.40682,4.44763,-0.27797,0.781522,0.854919
242821_at,CCDC171,-0.00942333,3.93797,3.94739,-0.277891,0.781583,0.854948
1566337_x_at,CHML,-0.019885,3.70976,3.72965,-0.277953,0.781595,0.854948
214569_at,IFNA5,-0.00589133,3.42469,3.43058,-0.277917,0.781565,0.854948
213218_at,ZSCAN26,-0.0192803,7.36486,7.38414,-0.277846,0.781629,0.854951
212470_at,SPAG9,0.0239485,9.25854,9.2346,0.277847,0.781626,0.854951
1570398_at,FAM47E,-0.00571967,3.72234,3.72806,-0.277798,0.781657,0.854964
AFFX-r2-P1-cre-3_at,,0.0126783,13.8418,13.8291,0.277582,0.781822,0.855128
210278_s_at,AP4S1,0.035778,6.5986,6.56282,0.277474,0.781911,0.855203
1555034_at,CLRN1,0.00900733,3.78479,3.77578,0.277465,0.781922,0.855203
1560419_at,LOC100127974,-0.007111,3.85174,3.85885,-0.277436,0.781985,0.855238
238631_at,,0.0186638,5.28165,5.26298,0.277378,0.781979,0.855238
1563245_at,CLYBL-AS2,0.00947567,4.28031,4.27083,0.277343,0.782004,0.855241
1553474_at,LOC100288966,0.00645217,3.57975,3.5733,0.277285,0.782049,0.855274
212095_s_at,MTUS1,-0.0541688,7.68178,7.73595,-0.277316,0.782074,0.855275
237835_at,,-0.010514,5.18377,5.19429,-0.277255,0.782082,0.855275
243514_at,WDFY2,-0.0480358,5.53986,5.5879,-0.277128,0.782168,0.855352
242146_at,SNRPA1,-0.0691565,6.21485,6.28401,-0.276963,0.782293,0.855472
234347_s_at,DENR,0.009702,4.3436,4.33389,0.276862,0.782389,0.855559
208238_x_at,,0.0398175,8.93516,8.89534,0.276792,0.78243,0.855561
241232_x_at,,-0.00757533,4.40896,4.41653,-0.276783,0.782437,0.855561
227918_s_at,ZYG11B,0.044272,5.48949,5.44522,0.27679,0.782433,0.855561
232670_at,,0.0248608,6.33734,6.31248,0.276687,0.782505,0.8556
240941_at,,-0.011889,4.61086,4.62275,-0.276697,0.782498,0.8556
1569853_at,,0.00676233,3.85424,3.84747,0.27665,0.782544,0.855626
238687_x_at,ZNF770,0.014164,3.83542,3.82125,0.276608,0.782588,0.855657
1565738_at,SCTR,0.0102757,5.03773,5.02746,0.276532,0.782637,0.85569
227835_at,LOC389831,0.0484517,6.87151,6.82306,0.276548,0.782649,0.85569
237551_at,,-0.006876,3.68012,3.687,-0.276415,0.782713,0.855742
227487_s_at,SERPINE2,-0.008564,4.0347,4.04326,-0.276381,0.782742,0.855757
1557444_at,TREML3P,0.0112555,4.61034,4.59908,0.276329,0.782779,0.85578
1560402_at,GAS5,0.0142407,4.5884,4.57416,0.276299,0.78281,0.85578
217097_s_at,PHTF2,0.0438052,5.18046,5.13665,0.276302,0.782803,0.85578
223697_x_at,C9orf64,0.045847,10.0209,9.97505,0.276232,0.782863,0.855808
1569102_at,ABCA4,0.00897183,4.32156,4.31259,0.276219,0.782866,0.855808
234108_at,TAS2R45,-0.00710017,3.67325,3.68035,-0.276179,0.78291,0.855839
224985_at,NRAS,0.0184427,9.82482,9.80637,0.275944,0.78313,0.856046
232186_at,FITM2,0.0195835,5.71046,5.69087,0.275919,0.783132,0.856046
234540_at,GCNT7,0.0208568,4.26991,4.24905,0.275834,0.783159,0.856056
231866_at,LNPEP,-0.0445292,8.45664,8.50117,-0.275819,0.783172,0.856056
208396_s_at,PDE1A,0.044857,6.64058,6.59573,0.275792,0.783203,0.856073
218155_x_at,TSR1,0.0379905,8.08933,8.05134,0.275619,0.783334,0.856182
243473_at,,-0.0100208,4.07404,4.08406,-0.275647,0.783322,0.856182
234463_at,,0.01187,4.9728,4.96093,0.275558,0.783386,0.856221
215130_s_at,IQCK,-0.0223048,6.82124,6.84355,-0.275476,0.783432,0.856255
203122_at,TRAPPC12,-0.0164268,8.77049,8.78692,-0.275436,0.783476,0.856285
1562249_at,EPHA1-AS1,-0.00622417,3.57069,3.57691,-0.275363,0.783537,0.856335
211631_x_at,B4GALT1,0.0247057,6.04739,6.02269,0.275222,0.783628,0.856417
234029_at,PCDHGB8P,0.00818917,4.23888,4.23069,0.275177,0.783662,0.85642
203563_at,AFAP1,-0.0225067,4.42779,4.4503,-0.275264,0.783656,0.85642
223435_s_at,PCDHA1 /// PCDHA10 /// PCDHA11 /// PCDHA12 /// PCDHA13 /// PCDHA2 /// PCDHA3 /// PCDHA4 /// PCDHA5 /// PCDHA6 /// PCDHA7 /// PCDHA8 /// PCDHA9 /// PCDHAC1 /// PCDHAC2,-0.0478707,8.07144,8.11931,-0.275388,0.783683,0.856426
220104_at,ZC3HAV1,-0.0362913,6.17552,6.21181,-0.27502,0.783782,0.856518
206553_at,OAS2,-0.0340923,6.93915,6.97324,-0.274914,0.783882,0.85661
1554777_at,ZFP42,-0.006805,4.0107,4.01751,-0.274826,0.783939,0.856655
206830_at,SLC4A10,0.005598,3.60856,3.60296,0.274769,0.783974,0.856676
238824_at,RPS29,-0.0277303,6.03213,6.05986,-0.274744,0.78404,0.856731
1564485_at,LINC00887,-0.00669167,3.80984,3.81653,-0.274601,0.784103,0.856783
208667_s_at,ST13,-0.0177778,10.9078,10.9256,-0.274534,0.78428,0.856948
1556625_a_at,RP11-214K3.20,-0.00545133,3.45684,3.46229,-0.274364,0.784286,0.856948
1554794_a_at,UBE3C,-0.0379795,4.67751,4.71549,-0.274273,0.784361,0.856979
215338_s_at,NKTR,0.0404398,7.87069,7.83025,0.27427,0.784357,0.856979
208866_at,CSNK1A1,-0.0301398,8.65319,8.68333,-0.274276,0.784358,0.856979
218925_s_at,C11orf1,0.0077475,3.63655,3.6288,0.274199,0.784444,0.857053
235858_at,CREBBP,0.0104852,5.36667,5.35618,0.274011,0.784565,0.857134
220418_at,UBASH3A,-0.0267063,5.30232,5.32903,-0.274034,0.784538,0.857134
230462_at,NUMB,-0.0401043,5.40675,5.44686,-0.274014,0.784554,0.857134
240066_at,,0.0194712,4.48307,4.46359,0.273958,0.784596,0.85715
240354_at,C12orf54,0.00899217,4.24607,4.23708,0.273927,0.784682,0.857226
205102_at,TMPRSS2,0.0249952,8.77134,8.74635,0.273846,0.784715,0.857245
200713_s_at,MAPRE1,-0.0174667,11.2239,11.2414,-0.273791,0.784789,0.85731
216187_x_at,,0.0559718,9.32236,9.26638,0.273511,0.784941,0.857441
217448_s_at,TOX4,0.0441842,6.4083,6.36412,0.273521,0.78494,0.857441
206274_s_at,CROCC,0.0172212,6.73019,6.71297,0.273465,0.785015,0.857505
217586_x_at,,-0.0564128,7.28479,7.3412,-0.273381,0.785046,0.857521
1555871_at,TTC28-AS1,0.0164153,5.86191,5.84549,0.273342,0.785069,0.857524
226863_at,FAM110C,0.0488502,7.79552,7.74667,0.27348,0.785079,0.857524
239707_at,SLC5A10,-0.0126715,5.46529,5.47796,-0.273139,0.785253,0.857679
243145_at,,-0.0103297,5.58958,5.59991,-0.273119,0.785244,0.857679
221413_at,KCNAB3,0.013258,6.00634,5.99308,0.273056,0.785288,0.857701
214863_at,,0.011985,4.4483,4.43632,0.273006,0.78533,0.857729
231211_s_at,YIF1B,-0.0273292,6.44506,6.47239,-0.27298,0.785346,0.85773
240008_at,,-0.063091,6.22442,6.28751,-0.272803,0.785482,0.857861
1564259_at,,0.0119823,5.06095,5.04897,0.272692,0.785571,0.857941
232140_at,LOC100132352,0.0239622,6.46783,6.44387,0.272686,0.78559,0.857945
1568686_at,ATP8B5P,0.00671717,3.5232,3.51648,0.27247,0.785744,0.858095
1561301_at,MAGI1-IT1,-0.0110902,5.39764,5.40873,-0.272433,0.785768,0.858105
1557843_at,LINC01087,-0.0052,3.51506,3.52026,-0.272422,0.785812,0.858127
244391_at,TSEN2,-0.017041,5.50983,5.52687,-0.272445,0.78582,0.858127
1554249_a_at,ZNF638 /// ZNF638-IT1,-0.0458032,6.36821,6.41402,-0.272307,0.785863,0.85814
228656_at,PROX1,-0.0394222,5.00817,5.04759,-0.272404,0.78586,0.85814
219826_at,ZNF419,0.0209965,7.5644,7.5434,0.272225,0.785926,0.858191
1557384_at,LOC100506639 /// ZNF131,-0.0500848,6.24045,6.29054,-0.27217,0.785967,0.858219
1563610_at,LOC157273,0.00905217,4.04855,4.0395,0.272028,0.786077,0.858322
1557062_at,ZSCAN16-AS1,-0.00596767,3.65929,3.66525,-0.271979,0.786115,0.858329
235526_at,SOX6,0.0551352,7.19256,7.13742,0.271992,0.786104,0.858329
AFFX-HSAC07/X00351_3_at,ACTB,0.00632167,14.219,14.2127,0.271998,0.786143,0.858343
234590_x_at,,-0.0136327,6.14636,6.16,-0.271907,0.786178,0.858344
239313_at,LOC101928623 /// LOC401320,-0.0338968,6.38537,6.41927,-0.271886,0.786191,0.858344
236375_at,,0.0271803,4.54489,4.51771,0.271888,0.786191,0.858344
225559_at,CCDC174,0.0110935,7.73212,7.72103,0.271826,0.786241,0.858381
1553275_s_at,,-0.033519,4.17208,4.2056,-0.271671,0.78635,0.858483
237180_at,,0.0529248,6.58853,6.53561,0.271563,0.786439,0.858539
233275_at,,0.0068395,4.05371,4.04688,0.271563,0.786456,0.858539
217908_s_at,DCAF6,0.0183673,9.8245,9.80613,0.271617,0.786425,0.858539
234885_at,RP3-384D21.2,0.0119702,6.25337,6.2414,0.271563,0.786464,0.858539
206712_at,GRTP1,0.0101692,4.90643,4.89626,0.27144,0.786527,0.858591
1566462_at,,0.00615983,3.7675,3.76134,0.271479,0.786556,0.858605
1554106_at,NBEAL1,-0.0405622,7.33853,7.3791,-0.2714,0.786615,0.858652
231576_at,,-0.0720402,6.33492,6.40696,-0.271222,0.786695,0.858722
1564400_at,SMIM21,0.00904833,4.81772,4.80867,0.271237,0.786731,0.858744
231259_s_at,CCND2,-0.0204798,5.78567,5.80615,-0.270961,0.786906,0.858918
229990_at,TSC22D1-AS1,-0.0106108,5.25497,5.26558,-0.27091,0.786939,0.858938
1559065_a_at,CLEC4G,0.0183475,5.08937,5.07102,0.270945,0.787013,0.858967
1554375_a_at,NR1H4,0.0160808,4.2721,4.25602,0.271055,0.78701,0.858967
1556371_at,OLIG3,0.00737133,4.06413,4.05676,0.270831,0.786995,0.858967
216897_s_at,FAM76A,0.0148125,5.72542,5.71061,0.270807,0.787032,0.85897
203264_s_at,ARHGEF9,0.0198095,7.87337,7.85356,0.270819,0.787069,0.858994
215740_at,LOC100130741,0.00886167,5.14567,5.13681,0.270364,0.787361,0.859279
223561_at,NEK6,-0.021897,5.30679,5.32869,-0.270379,0.787362,0.859279
1561652_at,BECN1,0.0068135,4.18889,4.18207,0.270291,0.787409,0.859313
214172_x_at,RYK,-0.0261417,8.28359,8.30973,-0.270269,0.787426,0.859315
1565889_at,,-0.031796,4.3441,4.37589,-0.270194,0.787489,0.859331
240710_at,,0.0076855,4.38914,4.38146,0.270202,0.787478,0.859331
211575_s_at,UBE3A,0.0340848,7.94022,7.90613,0.27028,0.78746,0.859331
1558705_at,ATOH8,0.0122498,6.86234,6.85009,0.270114,0.787547,0.859378
207603_at,SLC4A7,0.0133173,3.80625,3.79294,0.269967,0.787671,0.859471
218222_x_at,ARNT,-0.0212707,7.62135,7.64262,-0.269972,0.787659,0.859471
209553_at,VPS8,0.0155348,8.63877,8.62323,0.270062,0.787679,0.859471
