probe_id,gene_symbol,log2FC,mean_a,mean_b,t_stat,p_value,adj_p_value
217046_s_at,AGER,-3.46292,7.00171,10.4646,-20.0239,2.63598e-39,7.2061e-35
215918_s_at,SPTBN1,-2.5091,6.19441,8.70351,-20.0155,1.97693e-39,7.2061e-35
228540_at,QKI,-1.2188,6.90879,8.12759,-18.3428,2.87915e-36,5.24725e-32
239650_at,NCKAP5,-3.10513,4.17309,7.27822,-18.0206,1.18233e-34,1.60616e-30
206208_at,CA4,-2.50273,7.10001,9.60275,-17.7147,1.46883e-34,1.60616e-30
1557729_at,GRK5,-1.77003,6.1779,7.94793,-17.8519,1.76737e-34,1.61052e-30
206209_s_at,CA4,-3.86942,6.07414,9.94356,-17.3773,2.73384e-34,2.13533e-30
202524_s_at,SPOCK2,-2.47131,8.37692,10.8482,-18.9735,6.76042e-34,4.62033e-30
229893_at,FRMD3,-1.87659,6.16094,8.03753,-17.2193,8.20693e-34,4.98571e-30
213715_s_at,KANK3,-2.01436,6.64805,8.6624,-17.03,1.4946e-33,8.1717e-30
230469_at,RTKN2,-3.41382,4.23377,7.64759,-18.3262,6.53352e-33,3.24746e-29
207302_at,SGCG,-2.08049,5.48493,7.56542,-17.1527,7.25808e-33,3.30696e-29
229641_at,CCBE1,-2.33122,6.87843,9.20965,-16.4913,3.82488e-32,1.60866e-28
209470_s_at,GPM6A,-4.19843,5.67504,9.87346,-16.3691,9.71885e-32,3.79556e-28
231991_at,CCM2L,-1.7766,6.87128,8.64788,-16.0612,2.20178e-31,8.02549e-28
217771_at,GOLM1,2.06918,9.96895,7.89977,17.2664,2.40584e-31,8.2212e-28
230132_at,PCAT19,-1.98683,7.14408,9.13091,-15.9495,3.6455e-31,1.17246e-27
204396_s_at,GRK5,-2.52073,8.123,10.6437,-16.6405,4.45437e-31,1.35302e-27
209469_at,GPM6A,-3.61581,5.62252,9.23833,-15.8322,6.1003e-31,1.75544e-27
203435_s_at,MME,-2.19432,7.29229,9.48661,-15.8298,7.83759e-31,2.1426e-27
205637_s_at,SH3GL3,-1.59067,6.05859,7.64926,-16.0253,1.93578e-30,5.03993e-27
220027_s_at,RASIP1,-1.95229,7.63273,9.58502,-15.6883,2.48603e-30,6.17835e-27
217177_s_at,PTPRB,-1.93427,6.51503,8.4493,-15.5305,4.4882e-30,1.0614e-26
210081_at,AGER,-4.39762,7.76413,12.1617,-16.126,4.65908e-30,1.0614e-26
242324_x_at,CCBE1,-1.79576,6.22544,8.0212,-15.3551,7.03957e-30,1.51129e-26
205107_s_at,EFNA4,1.61093,8.34278,6.73186,15.716,7.18675e-30,1.51129e-26
205200_at,CLEC3B /// EXOSC7,-2.87982,9.2044,12.0842,-15.442,1.08338e-29,2.19385e-26
238062_at,GPIHBP1,-2.28972,6.93583,9.22556,-15.229,1.26453e-29,2.46922e-26
49111_at,ARRB1,-1.32454,7.81291,9.13745,-15.2474,1.79245e-29,3.26673e-26
221861_at,ARRB1,-1.21063,8.15076,9.36138,-15.2867,1.73972e-29,3.26673e-26
209904_at,TNNC1,-3.11719,6.57732,9.69451,-15.3363,2.7915e-29,4.9234e-26
226028_at,ROBO4,-2.39167,8.09083,10.4825,-15.3804,3.7721e-29,6.44499e-26
226950_at,ACVRL1,-1.99019,8.34854,10.3387,-14.9916,4.64897e-29,7.70249e-26
1556579_s_at,IGSF10,-2.85504,5.39443,8.24947,-15.066,5.38391e-29,8.65781e-26
219719_at,HIGD1B,-1.89779,7.84096,9.73875,-14.8821,8.17413e-29,1.24145e-25
235228_at,CCDC85A,-2.58146,5.21446,7.79593,-15.1065,7.98505e-29,1.24145e-25
222416_at,ALDH18A1,1.08629,9.37574,8.28945,15.0537,1.0486e-28,1.54952e-25
209875_s_at,SPP1,4.50335,12.4514,7.948,15.0361,1.67914e-28,2.41597e-25
207547_s_at,FAM107A,-2.64946,7.81176,10.4612,-14.6231,3.81924e-28,5.35429e-25
227780_s_at,ECSCR,-1.80961,7.96717,9.77677,-14.7371,4.75491e-28,6.49937e-25
209793_at,GRIA1,-1.99308,5.33684,7.32993,-14.6204,5.50158e-28,7.32373e-25
226244_at,CLEC14A,-1.56609,7.99644,9.56253,-14.5166,5.62591e-28,7.32373e-25
204271_s_at,EDNRB,-2.76944,8.04011,10.8095,-14.6269,6.85463e-28,8.71574e-25
232224_at,MASP1,-1.50619,6.18836,7.69454,-15.6411,7.01793e-28,8.72057e-25
227779_at,ECSCR,-1.71587,7.7654,9.48128,-14.3941,9.7014e-28,1.17872e-24
222738_at,CLDN22 /// WWC2,-1.91168,6.1875,8.09919,-14.3965,1.04106e-27,1.23739e-24
205941_s_at,COL10A1,3.79823,10.0586,6.2604,17.0802,1.38931e-27,1.61618e-24
227929_at,LIN7A,-2.23043,6.71604,8.94647,-14.4546,1.59029e-27,1.81144e-24
206283_s_at,TAL1,-2.21434,6.01853,8.23287,-14.3688,1.74777e-27,1.95019e-24
228568_at,MYZAP,-2.30644,6.89438,9.20082,-14.2595,2.37268e-27,2.59452e-24
43511_s_at,ARRB1,-1.38765,8.06436,9.45201,-14.356,3.32097e-27,3.56028e-24
200878_at,EPAS1,-1.63002,12.0767,13.7067,-14.263,3.76013e-27,3.8288e-24
202523_s_at,SPOCK2,-1.29999,7.35565,8.65565,-14.6703,3.70774e-27,3.8288e-24
227463_at,ACE,-1.32933,7.71988,9.04921,-14.1362,3.78153e-27,3.8288e-24
235108_at,KCNK3,-2.00328,6.3108,8.31408,-14.1282,4.20092e-27,4.1761e-24
239942_at,GNG11,-2.24147,4.44192,6.68339,-14.1984,4.80135e-27,4.68774e-24
235670_at,STX11,-2.68906,6.55448,9.24354,-14.3822,4.91402e-27,4.71358e-24
230670_at,IGSF10,-1.8792,7.14403,9.02323,-14.2011,5.86537e-27,5.52912e-24
204677_at,CDH5,-2.20257,7.98008,10.1826,-14.1188,6.8006e-27,6.30208e-24
201004_at,SSR4,0.928758,12.802,11.8732,13.9722,9.10244e-27,8.2946e-24
227874_at,EMCN,-2.92048,7.14805,10.0685,-13.9978,1.55604e-26,1.3947e-23
226673_at,SH2D3C,-1.55083,8.01284,9.56367,-13.8394,1.83062e-26,1.61434e-23
230482_at,ST6GALNAC5,-1.94568,6.08899,8.03468,-13.9306,2.14381e-26,1.86052e-23
228434_at,BTNL9,-2.91838,6.40308,9.32146,-13.9453,2.24025e-26,1.91384e-23
205978_at,KL,-2.27308,4.66278,6.93586,-13.794,2.37705e-26,1.99947e-23
220677_s_at,ADAMTS8,-1.7241,6.3876,8.1117,-13.7662,2.88318e-26,2.38845e-23
204500_s_at,AGTPBP1,-1.06633,8.03099,9.09732,-13.8846,3.01642e-26,2.46153e-23
223449_at,SEMA6A,-1.61518,7.14688,8.76206,-13.9758,3.08767e-26,2.48262e-23
202148_s_at,PYCR1,1.31496,8.5815,7.26654,13.9006,3.32411e-26,2.634e-23
206702_at,TEK,-2.60435,6.93636,9.54071,-13.9407,3.71231e-26,2.89958e-23
209074_s_at,FAM107A,-3.44448,7.74044,11.1849,-14.2746,4.04567e-26,3.11545e-23
210838_s_at,ACVRL1,-1.13337,7.0278,8.16117,-14.057,4.2902e-26,3.15498e-23
225681_at,CTHRC1,3.19316,11.0526,7.8594,13.9772,4.23516e-26,3.15498e-23
63305_at,PKNOX2,-1.2342,6.96111,8.19531,-13.787,4.30996e-26,3.15498e-23
236154_at,QKI,-1.61395,4.79393,6.40788,-13.9476,4.32782e-26,3.15498e-23
233903_s_at,ARHGEF26,-2.2234,5.21715,7.44055,-13.9986,4.70266e-26,3.38313e-23
209789_at,CORO2B,-1.57073,5.33816,6.90889,-13.6486,5.00981e-26,3.55729e-23
212975_at,DENND3,-1.37773,7.54955,8.92728,-13.6544,5.11123e-26,3.58278e-23
216620_s_at,ARHGEF10,-1.10972,8.3997,9.50943,-13.6615,5.26581e-26,3.64441e-23
1552388_at,FLJ30901 /// SCUBE1,-0.918161,6.58742,7.50558,-13.9982,5.44957e-26,3.72444e-23
241672_at,SERTM1,-2.71899,4.10036,6.81935,-15.6846,6.40928e-26,4.32627e-23
242600_at,FRMD3,-1.15204,5.67626,6.8283,-14.0979,9.00413e-26,6.00367e-23
225660_at,SEMA6A,-1.8219,6.23181,8.05371,-13.5491,9.35331e-26,6.16135e-23
241782_at,NEBL,-1.96185,5.72183,7.68368,-13.5557,1.05714e-25,6.88085e-23
225314_at,OCIAD2,1.78812,11.1922,9.4041,14.6449,1.76184e-25,1.1201e-22
219059_s_at,LYVE1,-2.29579,6.98202,9.2778,-13.4187,1.75842e-25,1.1201e-22
213316_at,KIAA1462,-2.17508,6.63299,8.80806,-13.4983,1.79842e-25,1.12091e-22
226140_s_at,OTUD1,-1.29902,9.50539,10.8044,-13.5848,1.80411e-25,1.12091e-22
243813_at,LINC00968,-2.32954,5.15596,7.4855,-13.5552,2.25114e-25,1.38293e-22
229172_at,HSPA12B,-1.53015,7.40415,8.9343,-13.4754,2.33472e-25,1.41834e-22
213900_at,FAM189A2,-1.79586,7.46295,9.25881,-13.4252,2.61874e-25,1.5734e-22
208981_at,PECAM1,-1.55656,10.3075,11.8641,-13.799,2.97924e-25,1.77055e-22
204642_at,S1PR1,-1.98712,7.87411,9.86122,-13.4844,3.50772e-25,2.0622e-22
212115_at,HN1L,1.09549,10.4757,9.38024,14.349,4.21194e-25,2.44987e-22
238206_at,RXFP1,-2.006,4.73419,6.74019,-14.062,4.44311e-25,2.55713e-22
228665_at,CYYR1,-1.76473,7.98641,9.75113,-13.5646,4.76042e-25,2.71121e-22
203571_s_at,ADIRF,-2.56635,9.2532,11.8195,-13.6518,4.84535e-25,2.73113e-22
202759_s_at,AKAP2 /// PALM2-AKAP2,-2.07688,9.66919,11.7461,-13.2607,5.21687e-25,2.91053e-22
213103_at,STARD13,-1.34765,7.40033,8.74798,-13.2189,5.49579e-25,3.03518e-22
236088_at,NTNG1,-1.37877,5.54042,6.91919,-13.1831,6.09904e-25,3.33465e-22
244455_at,KCNT2,-2.16029,5.63106,7.79135,-13.2091,6.35523e-25,3.44032e-22
220994_s_at,STXBP6,-2.13921,6.63388,8.77309,-13.1456,7.38293e-25,3.95747e-22
227419_x_at,PLAC9,-2.06921,7.75212,9.82133,-13.3376,7.70852e-25,4.09188e-22
225372_at,C10orf54,-1.17951,6.56892,7.74843,-13.279,8.44799e-25,4.44129e-22
208674_x_at,DDOST,0.717216,10.9232,10.2059,13.2287,9.39053e-25,4.88978e-22
1552797_s_at,PROM2,2.58947,9.15388,6.56441,14.163,9.52768e-25,4.91439e-22
212822_at,HEG1,-1.4391,8.76998,10.2091,-13.086,1.02275e-24,5.22604e-22
231947_at,MYCT1,-1.87116,7.13793,9.00909,-13.1097,1.04758e-24,5.30337e-22
208837_at,TMED3,1.0615,10.1784,9.11689,13.0653,1.17936e-24,5.91572e-22
228339_at,ECSCR,-1.79842,7.98487,9.78329,-13.1889,1.28637e-24,6.39382e-22
219761_at,CLEC1A,-1.46433,6.42501,7.88933,-13.0337,1.37593e-24,6.77737e-22
230560_at,STXBP6,-3.62748,5.47683,9.10431,-13.0168,1.47242e-24,7.18789e-22
236383_at,,-1.96096,5.6476,7.60856,-13.0191,2.34048e-24,1.13244e-21
219213_at,JAM2,-1.64523,7.68421,9.32944,-13.0495,2.3675e-24,1.13547e-21
203065_s_at,CAV1,-2.65233,10.259,12.9113,-13.1348,2.41036e-24,1.14597e-21
206701_x_at,EDNRB,-2.93439,6.30783,9.24222,-12.9067,2.71855e-24,1.2795e-21
226985_at,FGD5,-1.49662,7.76961,9.26624,-13.0727,2.73803e-24,1.2795e-21
219125_s_at,SLC50A1,1.12639,9.25615,8.12977,13.6001,2.78156e-24,1.28883e-21
226694_at,AKAP2 /// PALM2-AKAP2,-1.73913,10.3988,12.1379,-13.8053,2.85519e-24,1.31183e-21
230645_at,FRMD3,-2.29136,6.00713,8.29849,-12.9203,2.94739e-24,1.3429e-21
225369_at,ESAM,-1.53143,8.18858,9.72001,-12.8761,3.12581e-24,1.41243e-21
208789_at,PTRF,-1.21035,10.7081,11.9185,-13.0394,3.2702e-24,1.46556e-21
217428_s_at,COL10A1,4.2583,8.77857,4.52028,15.8615,3.41753e-24,1.51913e-21
204468_s_at,TIE1,-1.82841,7.7999,9.6283,-12.9822,3.94295e-24,1.73855e-21
227178_at,CELF2,-1.35545,8.08841,9.44386,-13.5986,4.04902e-24,1.77104e-21
225078_at,EMP2,-1.86774,10.9753,12.8431,-12.8648,4.35803e-24,1.89107e-21
206481_s_at,LDB2,-2.14165,8.78409,10.9257,-12.8685,5.14317e-24,2.21419e-21
204482_at,CLDN5,-2.11161,8.60779,10.7194,-12.9316,5.88689e-24,2.51457e-21
243172_at,AX748273,-1.64315,4.89281,6.53597,-12.8288,6.36676e-24,2.69847e-21
229518_at,FAM46B,-1.73376,7.01999,8.75375,-12.7774,6.57279e-24,2.76436e-21
228268_at,FMO2,-2.54369,9.32504,11.8687,-12.9103,7.04673e-24,2.94107e-21
208982_at,PECAM1,-1.498,11.0869,12.5849,-13.4828,7.35354e-24,3.04587e-21
227307_at,TSPAN18,-1.36121,7.42422,8.78543,-12.7268,8.59831e-24,3.5083e-21
242340_at,RP1-78O14.1,-1.82122,5.55422,7.37545,-12.6915,8.56997e-24,3.5083e-21
211626_x_at,ERG,-1.09738,5.98516,7.08254,-12.7793,8.89699e-24,3.60328e-21
225373_at,C10orf54,-1.05718,8.39247,9.44965,-12.7805,1.2441e-23,5.00156e-21
228807_at,ASPA,-0.773837,5.26576,6.0396,-12.6351,1.33593e-23,5.33151e-21
227197_at,ARHGEF26,-2.40493,7.82969,10.2346,-12.6428,1.35766e-23,5.37899e-21
204017_at,KDELR3,1.69142,10.1433,8.4519,12.8999,1.52122e-23,5.98365e-21
204273_at,EDNRB,-3.19087,7.06059,10.2515,-12.8015,1.56019e-23,6.09309e-21
205326_at,RAMP3,-2.0077,8.11702,10.1247,-12.7387,1.72681e-23,6.696e-21
235306_at,GIMAP8,-2.2049,7.66922,9.87412,-12.9033,1.74599e-23,6.72267e-21
212552_at,HPCAL1,-0.829407,10.5951,11.4245,-12.6291,1.89451e-23,7.24351e-21
210608_s_at,FUT2,1.86582,8.2696,6.40378,14.3931,2.12874e-23,8.08255e-21
205935_at,FOXF1,-2.01158,7.97197,9.98355,-12.5124,2.41086e-23,9.09059e-21
203980_at,FABP4,-3.74737,7.92178,11.6692,-12.9739,2.55414e-23,9.56492e-21
1553243_at,ITIH5,-1.23975,6.42047,7.66023,-12.5283,2.79369e-23,1.03908e-20
212636_at,QKI,-1.71689,9.43479,11.1517,-13.4976,2.86275e-23,1.05757e-20
243805_at,CCBE1,-1.58751,4.66408,6.25159,-12.7254,3.11728e-23,1.13988e-20
229308_at,ANKRD29,-2.31071,5.80127,8.11197,-12.897,3.12725e-23,1.13988e-20
1558397_at,PECAM1,-1.88435,7.0282,8.91255,-12.4396,3.62556e-23,1.30413e-20
200048_s_at,JTB,0.507355,12.3527,11.8453,12.7924,3.61386e-23,1.30413e-20
222885_at,EMCN,-2.22195,7.87096,10.0929,-12.7492,3.73852e-23,1.33597e-20
223531_x_at,GPR89A /// GPR89B,0.764023,9.75123,8.98721,12.704,4.35875e-23,1.5475e-20
237390_at,,-1.89207,4.01715,5.90922,-13.3806,4.43043e-23,1.5628e-20
224762_at,SERINC2,1.69636,9.06003,7.36367,13.0912,4.75704e-23,1.66725e-20
223311_s_at,MTA3,0.818912,8.0768,7.25788,12.7874,4.91946e-23,1.71319e-20
208056_s_at,CBFA2T3,-1.15608,6.06693,7.22302,-12.3758,5.38225e-23,1.8625e-20
203812_at,SLIT3,-1.16907,7.72028,8.88934,-12.3253,6.23028e-23,2.14239e-20
228618_at,PEAR1,-1.53082,6.40907,7.93989,-12.3525,6.63323e-23,2.2667e-20
228770_at,GPR146,-1.64063,6.61552,8.25615,-12.3752,6.7313e-23,2.28592e-20
208161_s_at,ABCC3,2.13361,10.1764,8.04281,12.4463,7.56864e-23,2.55441e-20
1557094_at,LOC100996760,-1.59602,5.53232,7.12834,-12.8372,7.66433e-23,2.57084e-20
229385_s_at,TINCR,-1.37215,5.39103,6.76319,-12.2817,7.89704e-23,2.63275e-20
213317_at,CLIC5,-3.45981,8.00518,11.465,-13.0731,9.72279e-23,3.22178e-20
219091_s_at,MMRN2,-1.76368,7.608,9.37168,-12.2467,9.91143e-23,3.2645e-20
229529_at,TCF21,-1.64581,6.99249,8.6383,-12.2758,1.01013e-22,3.30713e-20
224448_s_at,MIR3934 /// UQCC2,1.22481,10.0534,8.82857,12.3651,1.14784e-22,3.73561e-20
226627_at,SEPT8,-1.0708,6.85475,7.92555,-12.2962,1.27854e-22,4.13634e-20
204579_at,FGFR4,-1.7512,7.01703,8.76823,-12.5304,1.34736e-22,4.33334e-20
204975_at,EMP2,-1.69676,11.0174,12.7141,-12.1623,1.59004e-22,5.08394e-20
204931_at,TCF21,-2.62292,7.48014,10.1031,-12.6318,1.622e-22,5.15598e-20
206898_at,CDH19,-1.93557,5.1683,7.10388,-12.2024,1.70589e-22,5.36032e-20
206069_s_at,ACADL,-2.05006,5.49526,7.54531,-12.2151,1.70402e-22,5.36032e-20
221886_at,DENND2A,-1.228,4.96839,6.19639,-12.5855,1.82073e-22,5.68848e-20
209841_s_at,LRRN3,-2.10639,6.63595,8.74234,-12.1244,1.87988e-22,5.83991e-20
220765_s_at,LIMS2,-1.22493,7.91837,9.1433,-12.1901,2.03604e-22,6.21901e-20
61297_at,CASKIN2,-1.29227,7.83163,9.1239,-13.0119,2.02331e-22,6.21901e-20
205405_at,SEMA5A,-1.43757,7.86624,9.30381,-12.1549,2.02752e-22,6.21901e-20
230250_at,PTPRB,-2.53984,8.45825,10.9981,-12.4178,2.07733e-22,6.3099e-20
225463_x_at,GPR89A /// GPR89B,0.785243,9.72949,8.94425,12.2817,2.2415e-22,6.77095e-20
226380_at,PTPN21,-1.88047,7.36815,9.24862,-12.1416,2.26176e-22,6.79461e-20
235649_at,ADAMTS8,-2.21698,7.34228,9.55926,-12.6203,2.32425e-22,6.94418e-20
215380_s_at,GGCT,1.16969,11.2589,10.0893,12.4236,2.44525e-22,7.26598e-20
241450_at,RSPO1,-0.729348,5.41594,6.14528,-12.0827,2.48927e-22,7.35679e-20
218723_s_at,RGCC,-2.05028,11.0545,13.1048,-12.9707,2.74245e-22,8.06149e-20
232027_at,SYNE1,-1.48435,4.79641,6.28076,-12.2328,2.88946e-22,8.40327e-20
236262_at,MMRN2,-1.95267,6.70468,8.65735,-12.1703,2.88696e-22,8.40327e-20
206167_s_at,ARHGAP6,-2.10154,7.27521,9.37675,-12.1166,3.02177e-22,8.69554e-20
239952_at,LOC100996668 /// ZEB1,-1.4042,5.75012,7.15432,-12.3281,3.01229e-22,8.69554e-20
217628_at,CLIC5,-2.31135,5.56454,7.87589,-12.3852,3.18802e-22,9.12592e-20
205003_at,DOCK4,-1.45429,9.14331,10.5976,-12.5852,3.26282e-22,9.2914e-20
205866_at,FCN3,-3.40527,7.71241,11.1177,-12.0445,3.41621e-22,9.6778e-20
203329_at,PTPRM,-0.936651,8.7528,9.68945,-12.3949,3.74579e-22,1.05567e-19
222717_at,SDPR,-2.8941,8.14753,11.0416,-12.6483,3.91203e-22,1.09687e-19
235642_at,,-1.47802,4.9436,6.42162,-12.8446,3.96253e-22,1.10537e-19
203888_at,THBD,-1.96009,8.04633,10.0064,-11.9717,4.22974e-22,1.17391e-19
1556325_at,FILIP1,-2.44043,5.38425,7.82467,-12.0258,4.5699e-22,1.26192e-19
206382_s_at,BDNF,-1.6389,4.64413,6.28304,-12.7449,4.6191e-22,1.26909e-19
207195_at,CNTN6,-1.35273,5.3362,6.68894,-12.3278,4.9041e-22,1.32904e-19
204115_at,GNG11,-1.81151,9.20563,11.0171,-12.0798,4.91023e-22,1.32904e-19
231001_at,FIBIN,-2.01163,6.51573,8.52736,-11.977,4.86771e-22,1.32904e-19
64064_at,GIMAP1-GIMAP5 /// GIMAP5,-1.19984,8.90213,10.102,-12.1266,4.93992e-22,1.33049e-19
238332_at,ANKRD29,-2.52143,6.91019,9.43162,-12.7967,5.021e-22,1.34538e-19
201341_at,ENC1,1.20238,10.1046,8.9022,12.1369,5.04442e-22,1.34538e-19
202747_s_at,ITM2A,-1.51531,9.38758,10.9029,-12.3827,5.09126e-22,1.35129e-19
226101_at,PRKCE,-1.45293,7.585,9.03793,-12.0875,5.4844e-22,1.4486e-19
223693_s_at,RADIL,-0.717373,6.9846,7.70197,-11.9323,5.56856e-22,1.46376e-19
219836_at,ZBED2,-2.34004,5.96819,8.30823,-11.9647,5.78374e-22,1.51304e-19
206030_at,ASPA,-1.65018,5.52615,7.17632,-11.9244,6.22721e-22,1.6213e-19
205507_at,ARHGEF15,-1.18923,7.38937,8.5786,-11.9228,6.32174e-22,1.63811e-19
204683_at,ICAM2,-1.27846,8.54734,9.8258,-12.0319,6.75516e-22,1.74216e-19
231773_at,ANGPTL1,-1.87376,6.01981,7.89358,-11.8344,8.81811e-22,2.26352e-19
238151_at,,-1.47749,6.64317,8.12065,-12.3651,9.59983e-22,2.45267e-19
226614_s_at,FAM167A,-1.33603,7.07204,8.40808,-11.7962,1.08768e-21,2.76599e-19
239345_at,SLC19A3,-1.36383,5.44709,6.81092,-11.7905,1.13061e-21,2.86187e-19
205206_at,KAL1,-2.41642,9.08431,11.5007,-11.8782,1.17962e-21,2.97216e-19
241986_at,BMPER,-1.33198,4.38539,5.71738,-11.9819,1.25631e-21,3.15085e-19
226022_at,SASH1,-1.61286,9.37584,10.9887,-11.7634,1.30384e-21,3.25514e-19
214774_x_at,TOX3,3.19596,8.77851,5.58255,11.9111,1.34797e-21,3.35002e-19
205846_at,PTPRB,-1.91639,6.77848,8.69487,-11.892,1.45417e-21,3.5814e-19
53991_at,DENND2A,-1.03697,7.26271,8.29968,-11.7472,1.45231e-21,3.5814e-19
229427_at,SEMA5A,-1.47371,6.86883,8.34254,-11.8121,1.56916e-21,3.84727e-19
226456_at,RMI2,1.53165,8.11074,6.57908,12.345,1.70487e-21,4.16132e-19
227452_at,LINC00511 /// LINC00673,2.24943,7.80291,5.55348,13.1314,1.74463e-21,4.23946e-19
217897_at,FXYD6,-1.41874,9.14966,10.5684,-12.5259,1.76363e-21,4.26666e-19
212071_s_at,SPTBN1,-1.0625,11.8082,12.8707,-12.1088,1.8037e-21,4.34438e-19
202503_s_at,KIAA0101,2.06765,9.5211,7.45345,11.7285,1.87706e-21,4.50125e-19
226713_at,CCDC50,-1.32861,8.15452,9.48312,-11.9884,1.89679e-21,4.5287e-19
209169_at,GPM6B,-1.93958,5.96238,7.90195,-11.6841,1.99974e-21,4.75374e-19
209529_at,PPAP2C,1.90424,8.91934,7.0151,11.9611,2.14456e-21,5.07592e-19
222171_s_at,PKNOX2,-0.998759,5.96017,6.95893,-11.6785,2.26486e-21,5.3357e-19
209614_at,ADH1B,-2.23169,6.22153,8.45322,-11.8056,2.27806e-21,5.3357e-19
225778_at,RBMS2,-0.806971,7.98753,8.7945,-11.729,2.28359e-21,5.3357e-19
228766_at,CD36,-3.36681,6.97751,10.3443,-12.0088,2.36523e-21,5.50293e-19
229127_at,JAM2,-2.19587,6.69277,8.88864,-11.6904,2.50447e-21,5.8022e-19
1552509_a_at,CD300LG,-2.26978,5.52136,7.79115,-12.6403,2.68397e-21,6.19183e-19
205247_at,NOTCH4,-1.11896,7.5394,8.65836,-11.742,2.83231e-21,6.50658e-19
206742_at,FIGF /// PIR-FIGF,-2.85505,7.32471,10.1798,-12.2068,3.01223e-21,6.87002e-19
242332_at,FENDRR,-1.1607,6.79241,7.95311,-12.1887,3.01565e-21,6.87002e-19
238891_at,,-1.55795,4.58495,6.1429,-11.9384,3.03269e-21,6.88017e-19
202786_at,STK39,1.37674,9.39955,8.02281,11.7133,3.11353e-21,7.03439e-19
217736_s_at,EIF2AK1,0.912521,11.0143,10.1018,12.1421,3.31047e-21,7.44855e-19
202084_s_at,SEC14L1,-0.982559,9.94539,10.928,-11.6405,3.35135e-21,7.47899e-19
1555216_a_at,LOC101060604 /// SLC7A5P1 /// SLC7A5P2,-1.82911,6.9072,8.73632,-11.6257,3.33918e-21,7.47899e-19
236359_at,SCN4B,-1.97844,7.22134,9.19978,-11.677,3.41861e-21,7.59807e-19
219958_at,TMEM74B,-0.992715,6.54796,7.54067,-11.6553,3.46582e-21,7.67181e-19
230800_at,ADCY4,-0.948201,7.44876,8.39696,-11.5996,3.59302e-21,7.92131e-19
238905_at,RHOJ,-1.16287,6.77972,7.94259,-11.5824,3.69324e-21,8.10956e-19
239262_at,,-2.11084,6.34597,8.45681,-11.5945,4.1393e-21,9.05264e-19
209168_at,GPM6B,-1.99124,5.599,7.59024,-11.5481,4.49124e-21,9.78321e-19
1552767_a_at,HS6ST2,3.43026,8.52436,5.0941,12.116,4.78e-21,1.03709e-18
236583_at,GIMAP1,-1.33788,6.67527,8.01315,-11.5297,4.81735e-21,1.04106e-18
205952_at,KCNK3,-2.64323,6.22399,8.86721,-11.7076,5.04575e-21,1.08613e-18
202908_at,WFS1,-1.0943,8.8655,9.9598,-11.5387,5.08473e-21,1.09023e-18
203865_s_at,ADARB1,-1.73205,7.72647,9.45852,-11.6673,5.25067e-21,1.12141e-18
234996_at,CALCRL,-2.1597,4.98435,7.14405,-11.6776,5.42519e-21,1.15417e-18
201563_at,SORD,1.2911,9.05907,7.76797,11.7699,5.57927e-21,1.18235e-18
219866_at,CLIC5,-2.66459,7.59863,10.2632,-11.5113,5.6829e-21,1.19966e-18
212097_at,CAV1,-2.212,10.9205,13.1325,-12.1011,5.78184e-21,1.21585e-18
208869_s_at,GABARAPL1,-1.0582,8.32496,9.38316,-11.7056,6.0091e-21,1.2588e-18
216623_x_at,TOX3,3.10507,9.03643,5.93135,11.6485,6.21615e-21,1.29721e-18
206170_at,ADRB2,-1.95728,7.60393,9.56122,-12.0371,6.6515e-21,1.38278e-18
236081_at,SNCA,-1.05709,4.11356,5.17065,-12.3628,6.85235e-21,1.41914e-18
225557_at,CSRNP1,-1.73472,8.53408,10.2688,-11.4659,6.92661e-21,1.4291e-18
204467_s_at,SNCA,-0.917051,6.13635,7.0534,-11.489,7.22531e-21,1.47958e-18
203074_at,ANXA8 /// ANXA8L1,-1.8515,7.67506,9.52656,-11.6987,7.22539e-21,1.47958e-18
223037_at,PDZD11,0.701626,10.2879,9.58627,11.491,7.42581e-21,1.50932e-18
203060_s_at,PAPSS2,-1.20756,10.9946,12.2021,-11.9556,7.40899e-21,1.50932e-18
201292_at,TOP2A,2.63876,8.88605,6.24729,11.9304,7.70706e-21,1.56068e-18
203256_at,CDH3,1.97513,9.30075,7.32562,11.913,8.15225e-21,1.64474e-18
213620_s_at,ICAM2,-1.38803,10.1647,11.5527,-11.9479,8.53943e-21,1.71652e-18
225079_at,EMP2,-1.82566,10.6938,12.5195,-11.4151,9.04667e-21,1.81182e-18
225765_at,TNPO1,1.24188,8.93753,7.69565,11.4422,9.4216e-21,1.88002e-18
219777_at,GIMAP6,-1.95908,8.40327,10.3623,-11.7618,9.50259e-21,1.88929e-18
224937_at,PTGFRN,1.35924,9.33523,7.97599,11.4587,9.58211e-21,1.89134e-18
213974_at,ADAMTSL3,-2.14793,6.24564,8.39358,-11.4272,9.57173e-21,1.89134e-18
1553844_a_at,C10orf67,-0.967697,5.07377,6.04147,-12.3738,9.83119e-21,1.93353e-18
218950_at,ARAP3,-1.1105,8.07251,9.18301,-11.4678,1.06671e-20,2.09041e-18
1560513_at,LOC400568,-0.767261,5.35007,6.11734,-11.6387,1.10548e-20,2.15865e-18
200911_s_at,TACC1,-1.11243,11.1844,12.2969,-11.8396,1.13452e-20,2.20748e-18
