gene_symbol,log2FC_GSE19804,adj_p_value_GSE19804,log2FC_GSE10072,adj_p_value_GSE10072,sig_a,sig_b,combined_rank
KIAA1462,-2.17508,1.12091e-22,-1.87641,4.64936e-25,True,True,186
ARHGAP6,-2.10154,8.69554e-20,-1.94018,5.40888e-29,True,True,187
PDZD2,-1.92282,5.631e-14,-2.25984,2.04571e-27,True,True,190
KCNK3,-2.00328,4.1761e-24,-2.04944,8.9983e-31,True,True,192
CYP4B1,-1.72966,3.27146e-07,-3.7098,4.42572e-22,True,True,195
LOC101927458 /// LPHN2,-2.07857,1.30961e-17,-1.92298,3.30305e-26,True,True,195
CLDN5,-2.11161,2.51457e-21,-1.88828,7.89018e-33,True,True,199
GPM6B,-1.93958,4.75374e-19,-2.17366,3.53201e-30,True,True,200
DUOX1,-1.92628,9.94099e-15,-2.17652,5.98818e-34,True,True,202
DLC1,-1.9003,2.43478e-16,-2.2454,9.55307e-24,True,True,203
COL3A1,1.98343,9.92226e-18,1.95327,5.95534e-14,True,True,207
GNG11,-2.24147,4.68774e-24,-1.7135,6.69302e-21,True,True,210
LAMP3,-1.8907,1.26066e-14,-2.2256,7.86809e-21,True,True,210
ADAMTS1,-2.04392,6.31193e-14,-1.88116,2.33605e-16,True,True,212
BCHE,-2.45927,4.64284e-12,-1.65198,1.10073e-20,True,True,213
GPC3,-1.98719,1.03951e-14,-1.9217,5.00948e-20,True,True,213
IL1RL1,-2.87256,3.32823e-11,-1.55703,7.92101e-09,True,True,216
RAMP3,-2.0077,6.696e-21,-1.89776,1.04149e-19,True,True,216
GRK5,-1.77003,1.61052e-30,-2.38807,2.23847e-37,True,True,219
GOLM1,2.06918,8.2212e-28,1.83141,1.67021e-24,True,True,222
HMGB3,1.84433,7.37408e-16,2.2162,3.87896e-23,True,True,223
PIP5K1B,-2.13218,7.46493e-16,-1.76377,8.3784e-27,True,True,223
VWF,-1.80757,6.71765e-18,-2.25847,3.97202e-34,True,True,224
GIMAP6,-1.95908,1.88929e-18,-1.91016,4.29635e-23,True,True,225
THBD,-1.96009,1.17391e-19,-1.88174,2.51502e-25,True,True,231
CLIC3,-1.87641,1.83849e-15,-2.03259,1.05512e-20,True,True,231
EMP2,-1.86774,1.89107e-21,-2.02716,4.66638e-28,True,True,236
CXCL2,-2.17339,1.63921e-12,-1.66195,1.15997e-08,True,True,237
PGC,-1.73619,4.04843e-06,-2.26224,3.24367e-19,True,True,238
AOC3,-1.95958,1.44948e-14,-1.86864,8.03167e-31,True,True,238
CDH3,1.97513,1.64474e-18,1.84023,5.78971e-17,True,True,238
LPL,-1.70145,1.5767e-13,-2.38926,1.09678e-25,True,True,239
AKAP2 /// PALM2-AKAP2,-2.07688,2.91053e-22,-1.71444,4.50815e-29,True,True,241
ACADL,-2.05006,5.36032e-20,-1.73773,9.48025e-32,True,True,242
AGTR1,-2.09755,2.9607e-16,-1.6991,4.55218e-28,True,True,243
VIPR1,-1.89739,1.49961e-14,-1.93067,1.17952e-17,True,True,243
TCF21,-1.64581,3.30713e-20,-2.5301,7.5422e-34,True,True,245
IL33,-2.03683,7.16954e-12,-1.71333,6.55358e-20,True,True,249
SLIT2,-1.83713,3.55932e-16,-1.96687,1.30012e-29,True,True,249
KIAA0101,2.06765,4.50125e-19,1.68484,6.55241e-20,True,True,252
SLC1A1,-1.84382,8.18704e-11,-1.93709,6.34992e-18,True,True,254
ID4,-1.86233,1.30633e-11,-1.90987,6.00692e-23,True,True,255
PPAP2C,1.90424,5.07592e-19,1.87245,3.61911e-25,True,True,257
TIE1,-1.82841,1.73855e-21,-1.93103,3.57053e-29,True,True,258
TSPAN7,-1.94342,1.65286e-13,-1.80471,8.66562e-23,True,True,258
ADH1B,-2.23169,5.3357e-19,-1.5515,1.31827e-27,True,True,258
C7,-1.93707,2.44101e-09,-1.77557,7.63551e-18,True,True,267
RRM2,1.94141,1.21272e-13,1.69447,1.71939e-18,True,True,281
CXCL14,2.42991,6.84412e-12,1.46085,1.60715e-06,True,True,284
AQP1,-1.78953,2.18987e-11,-1.84756,2.51837e-14,True,True,288
ADARB1,-1.73205,1.12141e-18,-1.89919,9.09882e-30,True,True,292
COL1A2,1.83176,1.72501e-14,1.7929,3.57628e-14,True,True,292
EPAS1,-1.63002,3.8288e-24,-2.08743,1.72625e-32,True,True,292
PCOLCE2,-2.02239,2.05372e-13,-1.54752,2.13513e-16,True,True,296
RASIP1,-1.95229,6.17835e-27,-1.5948,3.38617e-29,True,True,298
CD24,1.61818,1.01244e-12,2.0877,1.39506e-14,True,True,299
KLF2,-1.67268,1.7218e-16,-1.92436,1.69721e-26,True,True,299
TMPRSS4,2.31959,3.50096e-15,1.44196,3.51018e-13,True,True,303
DACH1,-2.23744,6.79312e-18,-1.44287,1.58953e-22,True,True,309
ADRB2,-1.95728,1.38278e-18,-1.55969,6.39201e-23,True,True,309
GPX3,-1.57697,1.26626e-12,-2.11088,1.22956e-27,True,True,311
S100A2,1.69502,2.11792e-07,1.87399,7.23196e-09,True,True,311
MMP11,2.28138,9.67178e-14,1.42854,1.24523e-14,True,True,312
PLA2G1B,-1.60937,2.42569e-05,-2.00794,2.36294e-19,True,True,317
CDC20,1.78769,1.05813e-13,1.67434,1.431e-17,True,True,324
LRRN3,-2.10639,5.83991e-20,-1.45954,9.4044e-25,True,True,326
CD93,-1.72117,1.67385e-17,-1.74854,1.15716e-30,True,True,327
RAMP2,-1.71268,1.97162e-17,-1.76885,7.60686e-27,True,True,330
CXCL3,-1.98484,2.63921e-10,-1.48791,3.90216e-10,True,True,331
SEMA3G,-1.84584,3.72052e-15,-1.57959,1.93607e-16,True,True,333
XAGE1B /// XAGE1E,1.63297,3.13072e-07,1.84565,2.20429e-10,True,True,335
CLU,-1.62602,6.46613e-11,-1.85879,2.06262e-18,True,True,337
CES1 /// LOC100653057,-1.60963,2.09664e-11,-1.89633,4.57877e-16,True,True,337
CCL14 /// CCL15-CCL14,-1.94168,1.555e-11,-1.50663,2.93186e-18,True,True,337
ABCC3,2.13361,2.55441e-20,1.42515,6.00828e-18,True,True,339
FRY,-1.55578,3.59277e-13,-1.94567,2.13014e-24,True,True,339
LIMCH1,-1.65757,1.11789e-13,-1.73932,3.51709e-23,True,True,346
HSD17B6,-1.71868,6.5302e-06,-1.66925,8.35894e-18,True,True,348
ZWINT,1.77402,5.15056e-17,1.57499,1.62125e-18,True,True,350
SPTBN1,-2.5091,7.2061e-35,-1.31509,3.21095e-27,True,True,352
STXBP6,-2.13921,3.95747e-22,-1.40548,1.1888e-24,True,True,352
SRPX,-1.5872,1.01429e-12,-1.86619,5.88386e-25,True,True,353
ACKR1,-2.18066,2.82805e-12,-1.3798,3.525e-13,True,True,353
NEDD4L,-1.97166,2.70438e-15,-1.45649,1.84879e-21,True,True,353
SRD5A1,1.85143,2.74541e-17,1.53519,5.27364e-16,True,True,355
PTPRB,-1.93427,1.0614e-26,-1.47619,8.07871e-25,True,True,356
HBEGF,-2.01943,5.39114e-16,-1.42352,2.45854e-17,True,True,361
CDO1,-2.32273,2.56494e-17,-1.31513,9.10131e-20,True,True,363
ADAMTS8,-1.7241,2.38845e-23,-1.58154,2.08466e-25,True,True,364
PDK4,-2.72906,3.89816e-12,-1.27348,6.72907e-15,True,True,364
IGF2BP3,1.62882,2.28537e-08,1.70429,1.69512e-10,True,True,365
LGSN,2.13463,1.16479e-10,1.36552,4.93338e-10,True,True,366
EFEMP1,-1.71726,1.00504e-12,-1.588,2.78207e-17,True,True,366
COMP,2.20459,8.90005e-15,1.33702,2.89812e-10,True,True,368
ZBED2,-2.34004,1.51304e-19,-1.3077,2.73346e-14,True,True,368
SFTPB,-1.45082,4.34304e-05,-2.06093,4.58561e-14,True,True,369
NUSAP1,1.68029,1.41153e-14,1.59229,4.38276e-18,True,True,372
FLRT3,-1.66392,2.99497e-09,-1.6134,4.07009e-13,True,True,372
PECAM1,-1.55656,1.77055e-22,-1.81391,1.87028e-35,True,True,373
MDK,1.55087,5.33739e-15,1.82029,4.42572e-22,True,True,374
SLC39A8,-1.45662,5.57469e-13,-1.96264,7.39164e-21,True,True,376
NEK2,1.76314,2.47143e-11,1.51537,1.2598e-14,True,True,383
CACNA2D2,-1.39261,1.3235e-07,-2.09511,1.84879e-21,True,True,388
GHR,-1.85501,3.25753e-14,-1.45538,1.72092e-22,True,True,390
TAL1,-2.21434,1.95019e-24,-1.29273,5.53143e-24,True,True,390
ATF3,-1.99736,1.58045e-12,-1.37353,1.99967e-07,True,True,392
GATA6,-1.4909,2.6534e-08,-1.83654,3.41381e-23,True,True,393
SOCS2,-2.0087,1.759e-15,-1.35801,5.6463e-15,True,True,395
JAM2,-1.64523,1.13547e-21,-1.55913,5.84549e-33,True,True,395
NQO1,1.63798,4.24168e-13,1.55947,2.77263e-11,True,True,396
ANXA3,-1.77648,9.35544e-11,-1.46999,3.65239e-12,True,True,399
GDF15,1.56786,3.27626e-07,1.66173,1.58911e-10,True,True,402
CLDN22 /// WWC2,-1.91168,1.23739e-24,-1.41401,1.25629e-20,True,True,405
DOCK4,-1.45429,9.2914e-20,-1.85193,9.11774e-25,True,True,407
PHLDA2,1.3669,2.29979e-09,2.00846,1.43823e-17,True,True,408
LYVE1,-2.29579,1.1201e-22,-1.23066,9.99259e-23,True,True,410
TNS1,-1.47284,3.67081e-18,-1.77746,1.09516e-30,True,True,411
ASPM,1.7144,3.29654e-10,1.483,8.43065e-16,True,True,412
SMAD6,-1.49062,1.56353e-13,-1.71738,2.76274e-16,True,True,414
P2RY14,-1.65885,3.8638e-15,-1.49218,9.65168e-22,True,True,416
CEP55,1.62024,2.00364e-10,1.54098,1.47263e-18,True,True,416
CCNB1,1.71784,1.07059e-12,1.47128,1.87679e-17,True,True,418
FGFR4,-1.7512,4.33334e-20,-1.44926,1.09628e-27,True,True,419
KL,-2.27308,1.99947e-23,-1.21995,4.2995e-20,True,True,420
HIGD1B,-1.89779,1.24145e-25,-1.36397,3.97202e-34,True,True,427
ABCA3,-1.28675,9.08567e-10,-2.09606,1.56916e-20,True,True,427
TNXA /// TNXB,-1.46719,1.92051e-16,-1.69411,9.48025e-32,True,True,431
FXYD1,-1.62622,1.32437e-16,-1.48808,6.70283e-26,True,True,434
NEBL,-1.96185,6.88085e-23,-1.30649,6.23205e-18,True,True,435
AGR2,1.64062,8.88209e-11,1.47337,1.64796e-09,True,True,435
SORBS1,-1.44886,1.20127e-08,-1.71479,1.53914e-20,True,True,435
DNAJC12,1.91248,2.22701e-10,1.33847,5.29844e-11,True,True,436
BUB1B,1.76902,1.56353e-13,1.42086,4.00435e-14,True,True,437
C14orf132,-1.60937,5.2169e-14,-1.51403,3.57053e-29,True,True,438
S1PR1,-1.98712,2.0622e-22,-1.27745,1.79821e-25,True,True,440
SEMA6A,-1.61518,2.48262e-23,-1.48982,7.00404e-15,True,True,440
SASH1,-1.61286,3.25514e-19,-1.49039,3.61995e-30,True,True,440
PCDH17,-1.74899,5.68609e-16,-1.42143,2.02826e-20,True,True,441
TMEM47,-1.4603,1.32084e-12,-1.64787,5.1138e-18,True,True,447
COL5A2,1.73483,2.44317e-14,1.41959,1.65377e-13,True,True,449
DLGAP5,1.90558,2.30547e-12,1.31179,1.90137e-13,True,True,450
IL6,-2.84491,6.95364e-12,-1.10358,4.25185e-05,True,True,459
ANGPT1,-1.62743,1.03023e-13,-1.44252,5.53143e-24,True,True,462
APOLD1,-1.76048,1.62124e-10,-1.35847,6.4653e-12,True,True,464
CST1,2.98963,7.86412e-16,1.08089,2.65237e-08,True,True,464
DNASE1L3,-1.87068,5.87145e-18,-1.30497,5.99945e-20,True,True,466
FEZ1,-1.60967,2.11699e-14,-1.4525,6.23992e-28,True,True,466
OLR1,-1.45541,6.4843e-07,-1.56392,6.77968e-13,True,True,468
SCG5,1.77327,2.04719e-11,1.33885,4.99197e-11,True,True,470
GCNT3,2.47473,3.14401e-18,1.11465,1.846e-10,True,True,470
MME,-2.19432,2.1426e-27,-1.15552,3.31873e-15,True,True,471
TYMS,1.53471,2.46051e-12,1.48261,6.88743e-18,True,True,474
KDELR3,1.69142,5.98365e-21,1.38607,2.98807e-20,True,True,476
FAM189A2,-1.79586,1.5734e-22,-1.31001,4.98208e-26,True,True,479
QKI,-1.2188,5.24725e-32,-1.90307,1.40513e-25,True,True,481
CENPU,1.49032,1.35837e-11,1.49476,1.43361e-17,True,True,484
LHFP,-1.38664,4.8996e-16,-1.64105,5.53143e-24,True,True,484
GINS1,1.96395,1.64553e-14,1.19728,9.78261e-15,True,True,485
BMP2,-1.70054,2.5684e-13,-1.34582,3.58323e-13,True,True,489
C1orf106,1.65058,3.69629e-12,1.35721,6.65718e-20,True,True,495
HEG1,-1.4391,5.22604e-22,-1.51968,2.10058e-26,True,True,498
TPPP3,-1.31161,4.07349e-07,-1.66846,9.5903e-19,True,True,499
FHL5,-1.94517,1.17363e-16,-1.19386,6.01325e-25,True,True,499
GALNT7,1.46502,5.1276e-17,1.48141,1.08332e-18,True,True,501
SCEL,-2.09656,2.518e-10,-1.14361,2.6491e-06,True,True,501
CLDN3,1.17131,8.11873e-10,1.90827,8.01896e-16,True,True,502
MIR22 /// MIR22HG,-1.42722,2.50349e-13,-1.5379,2.82451e-19,True,True,502
RECK,-1.53819,3.61048e-14,-1.42663,1.12935e-21,True,True,503
KLF9,-1.43207,6.89986e-13,-1.52167,2.27022e-16,True,True,504
EDN1,-1.90589,1.59873e-16,-1.19931,4.08318e-11,True,True,505
MELK,1.61802,8.26546e-12,1.36364,2.45516e-16,True,True,508
SLCO2A1,-1.3881,1.27736e-11,-1.54628,7.00301e-20,True,True,510
LTBP4,-1.43375,3.03028e-18,-1.49928,7.14884e-17,True,True,510
HYAL1,-1.63656,3.34641e-13,-1.33573,9.94932e-22,True,True,513
LGR4,1.82203,2.50251e-14,1.22854,1.0198e-14,True,True,514
CENPF,1.61896,9.44281e-13,1.34167,2.357e-16,True,True,516
ECT2,1.27867,1.23709e-08,1.66433,7.70044e-18,True,True,516
NMU,1.53712,1.7385e-12,1.40586,3.77834e-09,True,True,521
TMEM204,-1.30633,9.67178e-14,-1.56459,3.0233e-25,True,True,521
LMO2,-1.33308,1.32267e-16,-1.55374,5.88095e-24,True,True,521
LDLR,-1.55171,6.71035e-13,-1.38946,9.83602e-17,True,True,523
GDF10,-1.97101,3.95969e-18,-1.14762,1.10073e-20,True,True,523
CALCRL,-2.1597,1.15417e-18,-1.0705,1.39155e-15,True,True,523
IL7R,-1.52182,8.06503e-11,-1.4053,4.61659e-14,True,True,529
