gene_symbol,log2FC_GSE19804,adj_p_value_GSE19804,log2FC_GSE10072,adj_p_value_GSE10072,sig_a,sig_b,combined_rank
PPP1R15A,-1.56507,9.92226e-18,-1.13843,1.14557e-14,True,True,650
ID1,-1.41762,3.75725e-09,-1.24267,8.97474e-11,True,True,653
SORD,1.2911,1.18235e-18,1.32023,5.12904e-17,True,True,655
LOC101928620 /// POU2AF1,1.41506,1.47308e-05,1.2424,2.50196e-07,True,True,657
PBK,1.35482,1.43432e-07,1.2675,1.07153e-09,True,True,659
CCNB2,1.6001,4.26218e-13,1.11397,1.39584e-16,True,True,660
EFNA4,1.61093,1.51129e-26,1.0941,1.39155e-15,True,True,660
LRRC32,-1.52867,4.50767e-16,-1.14201,7.0053e-22,True,True,663
DPT,-1.54956,1.49349e-12,-1.13128,4.66236e-11,True,True,664
MYH10,-1.17192,5.17308e-11,-1.40682,1.38455e-21,True,True,664
AHNAK,-1.22567,6.86886e-17,-1.35163,1.68219e-23,True,True,664
TBX3,-1.0353,1.39556e-15,-1.55723,9.35493e-21,True,True,665
TMEM106B,1.36986,3.12564e-15,1.23922,4.08816e-17,True,True,668
GPRC5A,-1.4481,2.37169e-12,-1.18476,1.91118e-14,True,True,670
TPBG,1.2882,5.86766e-17,1.29061,1.05824e-20,True,True,674
CPA3,-1.20074,5.42215e-05,-1.35451,9.66407e-13,True,True,674
KDELR2,1.14187,1.22821e-16,1.42227,1.17492e-27,True,True,675
EMP1,-1.74328,4.83438e-13,-1.00278,2.88703e-09,True,True,676
SFN,1.63473,2.17785e-09,1.03373,3.64599e-11,True,True,677
C1orf115,-1.247,1.96701e-14,-1.3039,2.88784e-21,True,True,680
CDK1,1.16651,4.464e-10,1.38011,9.34706e-16,True,True,680
TPX2,1.53913,1.39623e-11,1.09801,4.4884e-16,True,True,681
SOX4,1.18264,1.40152e-12,1.35181,7.39164e-21,True,True,682
DPYSL2,-1.01286,5.67724e-13,-1.53806,2.31736e-22,True,True,683
GFPT1,1.19435,1.45655e-12,1.34104,7.83791e-22,True,True,684
TGFBR2,-1.10436,4.83916e-13,-1.43081,3.20451e-23,True,True,685
HIST1H2BD,1.24413,1.41449e-14,1.2938,1.32028e-15,True,True,685
ALOX5,-1.08523,7.56911e-10,-1.44711,6.05357e-14,True,True,686
WFDC2,1.58642,4.30994e-11,1.05761,1.1984e-09,True,True,686
STARD13,-1.34765,3.03518e-22,-1.21982,2.32694e-35,True,True,688
FLI1,-1.41582,8.82447e-13,-1.18084,9.67675e-17,True,True,689
FOS,-1.49941,1.79748e-08,-1.11683,1.27369e-05,True,True,690
IGHM,1.07714,0.00084186,1.43813,6.95573e-09,True,True,694
PTRF,-1.21035,1.46556e-21,-1.29564,2.59533e-23,True,True,699
GPR87,1.18174,1.38936e-05,1.311,5.36454e-08,True,True,702
DST,-1.14892,2.18998e-13,-1.34206,7.86188e-20,True,True,705
PCP4,1.31375,2.07642e-08,1.19474,2.25635e-06,True,True,708
ZFP36,-1.4241,7.26097e-12,-1.15009,5.98764e-12,True,True,709
H3F3A /// H3F3B /// MIR4738,-1.25287,1.63012e-17,-1.23887,4.28735e-19,True,True,710
DPEP2,-1.28256,8.00393e-16,-1.21744,2.02132e-27,True,True,714
TCN1,1.60116,1.17282e-05,1.01474,3.22433e-06,True,True,714
FBLN1,-1.11282,1.66323e-08,-1.36241,3.84175e-21,True,True,716
EEF1A2,1.06243,5.31187e-08,1.42181,3.56141e-07,True,True,716
FERMT2,-1.19427,1.48857e-14,-1.27472,3.57897e-22,True,True,717
TIMP3,-1.08588,6.06788e-14,-1.39055,8.26878e-17,True,True,719
FAM49A,-1.3017,7.3499e-15,-1.17767,3.11902e-19,True,True,725
SYNE1,-1.48435,8.40327e-20,-1.05571,3.92019e-15,True,True,726
FGR,-1.42435,7.82446e-13,-1.12543,6.15983e-17,True,True,726
PPAP2B,-1.19004,6.1391e-12,-1.25771,4.13368e-22,True,True,727
SLC2A1,1.45784,2.25226e-10,1.05912,1.17339e-14,True,True,729
KIF4A,1.52089,4.74786e-11,1.02462,1.18888e-13,True,True,730
AK4 /// LOC100507855,1.32628,8.63806e-09,1.15861,2.28129e-14,True,True,731
TPSAB1 /// TPSB2,-1.11312,0.000182486,-1.32961,1.83529e-11,True,True,732
COL13A1,-1.3179,5.43403e-13,-1.15909,2.27845e-16,True,True,732
MYRF,-1.56054,7.21102e-16,-1.00468,1.39722e-13,True,True,733
GPR37 /// SEL1L2,1.23465,5.49272e-07,1.19688,1.65768e-09,True,True,737
HN1,1.05727,4.62196e-12,1.38832,3.49103e-19,True,True,737
PLLP,-1.10613,2.88589e-07,-1.32926,1.91037e-20,True,True,738
CADM1,-1.02058,5.05691e-08,-1.42309,4.6911e-12,True,True,740
CEACAM1,1.52619,5.2155e-12,1.01111,5.57373e-12,True,True,741
MCM4,1.16121,4.49849e-11,1.26355,4.82527e-17,True,True,741
KIF11,1.48366,2.66027e-11,1.02994,1.10194e-12,True,True,745
PCDH9,-1.38954,1.79337e-13,-1.09841,3.13816e-12,True,True,745
OLFML1,-1.33177,5.8991e-12,-1.13237,4.72575e-24,True,True,746
LEPREL1,-1.03626,1.5633e-06,-1.3975,5.7993e-24,True,True,748
PHACTR2,-1.17241,1.69701e-14,-1.22608,1.25883e-14,True,True,748
ZEB2,-1.29174,4.84702e-12,-1.14814,7.18519e-15,True,True,751
RASL12,-1.13247,2.47906e-14,-1.27334,4.06783e-25,True,True,754
MNDA,-1.50093,1.34555e-09,-1.00038,2.69829e-09,True,True,761
GMFG,-1.14688,4.2865e-14,-1.23105,5.5423e-22,True,True,763
IGLJ3,1.04652,0.000118515,1.33627,2.81853e-09,True,True,765
KCNN4,1.36374,3.02813e-11,1.07601,1.22392e-15,True,True,766
SRPX2,1.43818,8.55098e-12,1.02361,8.25109e-11,True,True,767
PROS1,-1.22447,3.22639e-11,-1.16833,1.44943e-12,True,True,767
HEY1,-1.1273,3.22957e-12,-1.2445,5.45935e-14,True,True,771
TSPAN6,1.21522,3.58229e-12,1.15941,1.87441e-15,True,True,773
CENPA /// SLC35F6,1.29287,2.38891e-10,1.11332,5.339e-13,True,True,773
MXRA5,1.45708,6.75155e-11,1.0073,1.11377e-10,True,True,774
IGLC1 /// IGLV3-25 /// IGLV3-25,1.04136,0.00101242,1.32247,1.13233e-06,True,True,775
DENND3,-1.37773,3.58278e-23,-1.04898,2.90557e-24,True,True,775
ITIH5,-1.23975,1.03908e-20,-1.13897,2.08166e-32,True,True,776
NFASC,-1.4576,1.32197e-14,-1.00302,1.84847e-19,True,True,776
ADAM28,1.34829,4.20416e-09,1.059,1.18888e-13,True,True,777
SNRK,-1.1384,9.50763e-17,-1.21807,6.63837e-24,True,True,779
WFS1,-1.0943,1.09023e-18,-1.25205,1.73999e-23,True,True,779
STK39,1.37674,7.03439e-19,1.03231,1.08473e-16,True,True,785
SECISBP2L,-1.02958,1.37323e-13,-1.32373,1.96578e-19,True,True,785
CX3CR1,-1.43551,3.83536e-08,-1.00818,3.86952e-09,True,True,786
PKIG,-1.30424,1.44587e-16,-1.07494,9.36854e-20,True,True,787
ZNF423,-1.23537,4.49201e-09,-1.12072,2.61013e-20,True,True,791
SLC7A11,1.04468,0.000104767,1.28446,1.66766e-08,True,True,791
ARHGAP29,-1.31447,8.15906e-16,-1.05065,2.84975e-12,True,True,792
BUB1,1.43731,1.62012e-11,1.00262,8.50094e-12,True,True,792
RTN1,-1.25783,4.0541e-10,-1.08561,2.78761e-16,True,True,796
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37,1.0498,0.000412958,1.2641,1.35506e-07,True,True,797
KANK2,-1.08595,4.34322e-14,-1.2206,3.20451e-23,True,True,799
PDIA4,1.14679,5.0282e-15,1.17279,5.62763e-21,True,True,799
CBX7,-1.07185,8.67311e-14,-1.22996,4.91742e-22,True,True,803
LCN2,1.13047,9.85013e-05,1.18546,2.2007e-05,True,True,803
TNC,1.19997,9.76026e-07,1.12985,1.73916e-07,True,True,803
NPR1,-1.13118,2.62962e-14,-1.18215,6.62978e-34,True,True,804
IGLC1 /// IGLV3-10 /// IGLV3-10,1.04604,0.00137171,1.25751,2.17732e-08,True,True,805
PRDX4,1.03697,3.13174e-17,1.25996,1.03882e-20,True,True,809
DNAJB4,-1.29869,3.17437e-13,-1.02349,3.75164e-14,True,True,818
GGCT,1.16969,7.26598e-20,1.1269,1.06696e-18,True,True,819
ARRB1,-1.32454,3.26673e-26,-1.00737,2.60726e-22,True,True,824
ELTD1,-1.3046,7.33316e-13,-1.01416,1.76882e-15,True,True,824
SNX1,-1.14785,2.28723e-15,-1.1312,6.01617e-21,True,True,828
SERPING1,-1.06288,1.11944e-11,-1.18975,6.50062e-18,True,True,830
F8,-1.08784,2.60186e-11,-1.17145,5.42545e-14,True,True,830
ABLIM1,-1.22531,1.6735e-16,-1.04869,1.6341e-13,True,True,831
ALOX5AP,-1.10944,7.79924e-07,-1.15719,5.94521e-09,True,True,832
RAB11FIP1,-1.29036,6.41077e-15,-1.01379,1.27649e-11,True,True,833
S100A4,-1.09139,2.09152e-14,-1.16819,6.15808e-12,True,True,834
GPR126,-1.25367,3.6157e-08,-1.01827,5.97558e-08,True,True,840
RCAN1,-1.04227,7.96316e-12,-1.19426,2.17374e-16,True,True,840
LMCD1,-1.06049,1.05408e-13,-1.17178,5.69028e-19,True,True,844
CFB,1.22636,8.74417e-08,1.02114,1.56993e-08,True,True,847
CD97,-1.051,6.27135e-13,-1.17194,3.71489e-22,True,True,847
DUSP1,-1.15214,9.83871e-10,-1.07466,1.51291e-11,True,True,852
RCC1,1.23573,4.98028e-18,1.01044,1.94174e-25,True,True,855
PODXL,-1.06615,3.51162e-16,-1.15467,5.58737e-19,True,True,855
FKBP11,1.1421,3.77978e-13,1.07878,3.32895e-12,True,True,858
LAMA4,-1.03566,1.43942e-10,-1.17709,2.00697e-16,True,True,858
VCAN,1.09344,2.01104e-07,1.12847,1.13129e-11,True,True,858
NPR3,-1.15108,1.44083e-09,-1.05384,7.29227e-16,True,True,860
ANP32E,1.20371,1.516e-12,1.01578,4.5529e-13,True,True,864
SYNC,-1.02973,7.72613e-08,-1.17188,5.67899e-21,True,True,866
NDC80,1.20514,1.66609e-08,1.01319,1.60873e-10,True,True,867
CDH1,1.03621,4.24724e-16,1.16196,2.37876e-17,True,True,869
EZH2,1.19594,2.40018e-09,1.01062,7.64491e-11,True,True,873
EGR1,-1.13945,1.76751e-09,-1.04803,7.21951e-07,True,True,879
GMNN,1.07706,1.63468e-16,1.08805,5.26772e-15,True,True,885
CDKN2A,1.1509,2.02199e-08,1.01995,1.46195e-09,True,True,886
BZW2,1.03984,6.04067e-18,1.12763,9.97504e-24,True,True,890
ID3,-1.07433,3.1085e-10,-1.08291,1.18686e-14,True,True,890
RRAS,-1.11441,1.25435e-17,-1.0382,1.854e-19,True,True,891
KCNJ15,-1.00592,0.000874762,-1.14742,1.14349e-09,True,True,894
EPCAM,1.0282,8.96931e-09,1.13451,8.6941e-18,True,True,895
IRAK3,-1.13265,1.63255e-05,-1.01972,1.05258e-10,True,True,901
MEIS1,-1.04856,1.55087e-12,-1.08315,2.15938e-22,True,True,903
IGLJ3 /// IGLV3-19 /// IGLV3-19,1.04283,0.00029267,1.0906,1.35827e-07,True,True,903
HLF,-1.07225,7.44326e-07,-1.04821,1.36606e-20,True,True,910
EOGT,-1.07654,1.4532e-09,-1.03469,3.3784e-14,True,True,912
ACACB,-1.05816,8.6322e-12,-1.05174,6.00598e-26,True,True,913
AKT3,-1.05286,1.12106e-12,-1.05303,6.53898e-19,True,True,914
PMP22,-1.01583,1.29776e-11,-1.09607,5.33488e-18,True,True,916
ECM2,-1.06829,1.19622e-06,-1.03314,1.56684e-14,True,True,918
EPB41L2,-1.01392,1.27765e-11,-1.09227,7.70432e-22,True,True,919
CTGF,-1.03311,2.22939e-05,-1.04009,1.1737e-06,True,True,940
FEN1,1.00314,1.11693e-11,1.04902,5.96076e-16,True,True,945
CD55,-1.0106,4.54135e-11,-1.03179,1.35588e-07,True,True,954
MCAM /// MIR6756,-1.00307,1.97037e-08,-1.02335,1.11995e-11,True,True,964
TMPRSS11E,1.03747,1.99622e-05,1.0039,1.81621e-06,True,True,964
